ID,SVET,LVET,LAT,LAT2,LON,LON2,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
33520,274,1431,45.49865,45.497965,11.135129,11.129671,149.5,149.5,1.8805644,0.86
33521,300,1431,45.499296,45.498611,11.139992,11.134534,274.6,274.6,1.979467,0.89
33522,305,1431,45.499429,45.498744,11.140996,11.135538,302.1,302.1,1.9523196,0.9
33523,331,1431,45.499816,45.499131,11.143898,11.13844,330.7,330.7,1.9223924,0.92
33524,347,1431,45.500205,45.49952,11.14683,11.141372,405,405,1.8109968,0.94
33525,350,1431,45.500258,45.499573,11.147227,11.141769,411.4,411.4,1.8659687,0.94
33526,386,1431,45.500774,45.500089,11.151108,11.14565,444.5,444.5,1.7400794,0.95
33527,402,1431,45.500896,45.500211,11.152019,11.146561,418.9,418.9,1.729709,0.96
33528,500,1431,45.501823,45.501138,11.158968,11.15351,330.5,330.5,1.7616675,0.97
33529,571,1431,45.502564,45.501879,11.164531,11.159073,292.9,292.9,1.87036,0.98
33530,580,1431,45.502676,45.501991,11.165372,11.159914,294.8,294.8,1.7669416,0.99
33531,609,1431,45.502965,45.50228,11.167547,11.162089,274.7,274.7,1.7733295,0.99
33532,618,1431,45.503057,45.502372,11.168236,11.162778,269.2,269.2,1.7730185,0.99
33533,632,1431,45.503233,45.502548,11.169555,11.164097,272.8,272.8,1.7660055,0.99
33534,649,1431,45.503438,45.502753,11.171097,11.165639,274.3,274.3,1.773284,0.99
33535,652,1431,45.503472,45.502787,11.171359,11.165901,274.1,274.1,1.7941807,0.99
33536,654,1431,45.503496,45.502811,11.171536,11.166078,274.1,274.1,1.7988619,0.99
33537,681,1431,45.503812,45.503127,11.173912,11.168454,272.8,272.8,1.7549096,0.98
33538,713,1431,45.504191,45.503506,11.176762,11.171304,273.1,273.1,1.7573359,0.98
33539,718,1431,45.504251,45.503566,11.177215,11.171757,273.6,273.6,1.7655985,0.98
33540,737,1431,45.504473,45.503788,11.178881,11.173423,272.5,272.5,1.7928254,0.98
33541,784,1431,45.505016,45.504331,11.182967,11.177509,268.3,268.3,1.8435607,0.97
33542,786,1431,45.505044,45.504359,11.183177,11.177719,269.9,269.9,1.8658645,0.97
33543,788,1431,45.505077,45.504392,11.183431,11.177973,273.7,273.7,1.8846837,0.98
33544,796,1431,45.505221,45.504536,11.184518,11.17906,292.5,292.5,1.9047457,0.96
33545,809,1431,45.505435,45.50475,11.186129,11.180671,315.3,315.3,1.8839719,0.96
33546,934,1431,45.506949,45.506264,11.19753,11.192072,331.5,331.5,1.8805209,0.93
33547,937,1431,45.506981,45.506296,11.197774,11.192316,330.4,330.4,1.87513,0.93
33548,956,1431,45.507139,45.506454,11.198956,11.193498,305.4,305.4,1.7050077,0.91
33549,977,1431,45.507254,45.506569,11.199817,11.194359,255.5,255.5,2.0699411,0.86
33550,1033,1431,45.508132,45.507447,11.206443,11.200985,339.2,339.2,2.1734146,0.9
33551,1035,1431,45.508172,45.507487,11.206746,11.201288,345.5,345.5,2.1080857,0.9
33552,1083,1431,45.509194,45.508509,11.214477,11.209019,520.6,520.6,1.9773863,0.87
33553,1114,1431,45.509534,45.508849,11.217042,11.211584,512.1,512.1,2.0251845,0.87
33554,1124,1431,45.50966,45.508975,11.217988,11.21253,515.2,515.2,2.0769569,0.88
33555,1146,1431,45.510048,45.509363,11.220921,11.215463,565.2,565.2,2.1106528,0.87
33556,1190,1431,45.510497,45.509812,11.22431,11.218852,540.5,540.5,2.054356,0.85
33557,176,1432,45.497835,45.49715,11.128811,11.123353,270.7,270.7,1.8766091,0.86
33558,225,1432,45.498277,45.497592,11.132121,11.126663,217.7,217.7,2.0135158,0.84
33559,283,1432,45.498854,45.498169,11.136445,11.130987,175.1,175.1,2.3323797,0.86
33560,293,1432,45.499198,45.498513,11.139034,11.133576,258.6,258.6,2.1539106,0.89
33561,309,1432,45.49953,45.498845,11.14153,11.136072,311.2,311.2,1.8544179,0.91
33562,380,1432,45.500744,45.500059,11.150662,11.145204,449.3,449.3,1.7309729,0.95
33563,404,1432,45.500942,45.500257,11.152142,11.146684,416.6,416.6,1.7304114,0.96
33564,408,1432,45.500965,45.50028,11.152316,11.146858,407.6,407.6,1.739339,0.94
33565,417,1432,45.501048,45.500363,11.152938,11.14748,398.6,398.6,1.7245962,0.95
33566,429,1432,45.501137,45.500452,11.153605,11.148147,378.7,378.7,1.8059817,0.97
33567,434,1432,45.501196,45.500511,11.154044,11.148586,378.3,378.3,1.8086421,0.97
33568,453,1432,45.501408,45.500723,11.15564,11.150182,373.5,373.5,1.7741635,0.97
33569,455,1432,45.501427,45.500742,11.15578,11.150322,371.6,371.6,1.7494392,0.97
33570,515,1432,45.501995,45.50131,11.160037,11.154579,317.7,317.7,1.6438597,0.97
33571,545,1432,45.502275,45.50159,11.162142,11.156684,289.5,289.5,1.77974,0.96
33572,553,1432,45.502363,45.501678,11.162804,11.157346,287.1,287.1,1.7822029,0.97
33573,561,1432,45.502464,45.501779,11.163559,11.158101,289.2,289.2,1.7868301,0.98
33574,574,1432,45.502627,45.501942,11.164785,11.159327,292.6,292.6,1.8263466,0.99
33575,588,1432,45.502792,45.502107,11.166023,11.160565,292.2,292.2,1.74531,0.98
33576,605,1432,45.50295,45.502265,11.16721,11.161752,276,276,1.7860386,0.98
33577,616,1432,45.503065,45.50238,11.168078,11.16262,270.5,270.5,1.7635609,0.99
33578,656,1432,45.503548,45.502863,11.171704,11.166246,274,274,1.7984594,0.99
33579,683,1432,45.503864,45.503179,11.17408,11.168622,272.7,272.7,1.7541733,0.98
33580,710,1432,45.504182,45.503497,11.176474,11.171016,272.5,272.5,1.7238671,0.98
33581,712,1432,45.504206,45.503521,11.176657,11.171199,272.8,272.8,1.7382545,0.98
33582,719,1432,45.504292,45.503607,11.177301,11.171843,273.9,273.9,1.7664847,0.98
33583,780,1432,45.504993,45.504308,11.182577,11.177119,266.9,266.9,1.7986222,0.97
33584,836,1432,45.506098,45.505413,11.19091,11.185452,434.8,434.8,1.9216271,0.9
33585,838,1432,45.506134,45.505449,11.191186,11.185728,439.7,439.7,1.9613943,0.87
33586,855,1432,45.506443,45.505758,11.193518,11.18806,480.9,480.9,1.7290448,0.85
33587,868,1432,45.506564,45.505879,11.194429,11.188971,469,469,1.7115842,0.81
33588,871,1432,45.50658,45.505895,11.194545,11.189087,461.5,461.5,1.7970596,0.82
33589,988,1432,45.507353,45.506668,11.200339,11.194881,233.3,233.3,2.2004018,0.89
33590,994,1432,45.50743,45.506745,11.200919,11.195461,235.8,235.8,2.2694589,0.88
33591,1031,1432,45.508125,45.50744,11.206172,11.200714,334.9,334.9,2.1475755,0.9
