ID,SVET,LVET,LAT,LON,HEIGHT,HEIGHT WRT DEM,SIGMA HEIGHT,COHER
13784,636,1724,45.510851,11.162126,-0.8,-0.8,1.7565675,0.98
3164,368,773,45.480727,11.145593,-0.7,-0.7,1.9741774,0.77
3316,362,782,45.480911,11.144987,-0.7,-0.7,1.8176977,0.9
13471,695,1700,45.51087,11.167566,-0.7,-0.7,1.8435294,0.89
13532,662,1705,45.510621,11.164591,-0.7,-0.7,1.7330984,0.99
13557,684,1707,45.510938,11.166534,-0.7,-0.7,1.7730398,0.93
13567,644,1708,45.510493,11.162964,-0.7,-0.7,1.738933,0.99
13694,668,1717,45.511032,11.165031,-0.7,-0.7,1.7441123,0.98
13862,684,1731,45.511618,11.166348,-0.7,-0.7,1.7997666,0.95
10074,1007,1400,45.506052,11.197588,-0.6,-0.6,1.938418,0.83
10222,575,1416,45.501403,11.159082,-0.6,-0.6,1.9122864,0.83
12789,827,1646,45.510901,11.179721,-0.6,-0.6,1.7937732,0.92
14070,608,1749,45.511228,11.159443,-0.6,-0.6,1.7748801,0.87
14309,656,1768,45.512335,11.16357,-0.6,-0.6,1.7465851,0.98
17997,592,2141,45.522143,11.154978,-0.6,-0.6,1.7879063,0.9
3223,480,776,45.482146,11.155576,-0.5,-0.5,1.8032926,0.88
5489,885,940,45.491585,11.190334,-0.5,-0.5,1.8640123,0.85
7392,935,1118,45.497217,11.193391,-0.5,-0.5,1.857176,0.84
12860,653,1652,45.509014,11.164205,-0.5,-0.5,1.7561182,0.97
13160,664,1675,45.509796,11.165006,-0.5,-0.5,1.7605628,0.96
13453,649,1699,45.510298,11.163484,-0.5,-0.5,1.7425064,0.98
13491,628,1702,45.510134,11.16159,-0.5,-0.5,2.1211305,0.76
13787,661,1724,45.511148,11.164358,-0.5,-0.5,1.7527214,0.98
13898,670,1734,45.511538,11.165081,-0.5,-0.5,1.7444183,0.99
13908,644,1735,45.511258,11.162761,-0.5,-0.5,1.7390429,0.99
13970,660,1741,45.511618,11.164138,-0.5,-0.5,1.7616435,0.96
14298,670,1767,45.512473,11.164827,-0.5,-0.5,2.1281399,0.78
4948,820,903,45.489771,11.184855,-0.4,-0.4,1.8791658,0.85
5556,869,945,45.491538,11.188877,-0.4,-0.4,1.8806457,0.76
8494,1042,1239,45.501903,11.201936,-0.4,-0.4,2.0444354,0.81
10574,1020,1450,45.507622,11.198358,-0.4,-0.4,2.0052697,0.78
12301,296,1605,45.503438,11.132702,-0.4,-0.4,1.9555757,0.79
13315,686,1688,45.510424,11.166864,-0.4,-0.4,1.7822598,0.9
13375,650,1693,45.51014,11.163621,-0.4,-0.4,1.7847196,0.96
13516,632,1704,45.510238,11.161933,-0.4,-0.4,1.9440715,0.85
13543,583,1706,45.509714,11.157553,-0.4,-0.4,1.7687844,0.96
13716,683,1719,45.511267,11.166357,-0.4,-0.4,1.7478055,0.98
3301,369,781,45.480967,11.145629,-0.3,-0.3,1.8254175,0.86
5695,503,958,45.487575,11.156219,-0.3,-0.3,1.8247305,0.82
7879,469,1171,45.493205,11.151535,-0.3,-0.3,2.1523227,0.76
13019,643,1665,45.509264,11.163217,-0.3,-0.3,1.8459024,0.92
13182,632,1677,45.509474,11.162146,-0.3,-0.3,1.756848,0.95
13198,712,1678,45.510449,11.169258,-0.3,-0.3,1.743427,0.98
13349,572,1691,45.509159,11.156691,-0.3,-0.3,1.9126776,0.84
13531,659,1705,45.510587,11.164332,-0.3,-0.3,1.7642975,0.97
13623,649,1712,45.510666,11.163387,-0.3,-0.3,1.7375768,0.98
13624,669,1712,45.510903,11.165167,-0.3,-0.3,1.7739081,0.94
4911,858,901,45.490163,11.188247,-0.2,-0.2,1.8178694,0.91
